Administrative,Informational,Informational_Duration,ProductRelated,BounceRates,ExitRates,PageValues,SpecialDay,Weekend,Revenue,TotalPages,DurationPerPage,PagesPerMinute,ProductShare,DurationPerProduct,BounceExitDiff,Bounce_x_Exit,ValuePerProduct,PageValuePerTime,SessionQuality,PurchaseIntent,ActivityScore,HasPageValue,IsReturningVisitor,MonthNum,Month_sin,Month_cos,ProductRelated_Duration_log,Administrative_Duration_log,TotalDuration_log,EngagementScore_log,PurchaseIntent_log,OperatingSystems_2,OperatingSystems_3,OperatingSystems_4,OperatingSystems_5,OperatingSystems_6,OperatingSystems_7,OperatingSystems_8,Browser_2,Browser_3,Browser_4,Browser_5,Browser_6,Browser_7,Browser_8,Browser_9,Browser_10,Browser_11,Browser_12,Browser_13,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,TrafficType_2,TrafficType_3,TrafficType_4,TrafficType_5,TrafficType_6,TrafficType_7,TrafficType_8,TrafficType_9,TrafficType_10,TrafficType_11,TrafficType_12,TrafficType_13,TrafficType_14,TrafficType_15,TrafficType_16,TrafficType_17,TrafficType_18,TrafficType_19,TrafficType_20,VisitorType_Other,VisitorType_Returning_Visitor
0,0,0.0,1,0.2,0.2,0.0,0.0,0,0,1,0.0,1.0,0.5,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,2,0,1,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,2,0.0,0.1,0.0,0.0,0,0,2,21.333333333333332,0.9677419354838711,0.6666666666666666,21.333333333333332,0.1,0.0,0.0,0.0,0.0,0.0,4,0,1,2,0.8660254037844386,0.5000000000000001,4.174387269895637,0.0,4.174387269895637,4.859812404361672,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,1,0.2,0.2,0.0,0.0,0,0,1,0.0,1.0,0.5,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,2,0,1,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,2,0.05,0.14,0.0,0.0,0,0,2,0.888888889,1.9148936170110908,0.6666666666666666,0.888888889,0.09000000000000001,0.007000000000000001,0.0,0.0,0.0,0.0,4,0,1,2,0.8660254037844386,0.5000000000000001,1.29928298422117,0.0,1.29928298422117,1.8458266906035938,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,10,0.02,0.05,0.0,0.0,1,0,10,57.04545454545455,0.8727272727272727,0.9090909090909091,57.04545454545455,0.030000000000000002,0.001,0.0,0.0,0.0,0.0,20,0,1,2,0.8660254037844386,0.5000000000000001,6.443336028030302,0.0,6.443336028030302,8.744488113852924,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,19,0.015789474,0.024561404,0.0,0.0,0,0,19,7.710833334999999,5.321714773932667,0.95,7.710833334999999,0.008771929999999997,0.000387811649861496,0.0,0.0,0.0,0.0,38,0,1,2,0.8660254037844386,0.5000000000000001,5.04482199051431,0.0,5.04482199051431,7.983138744524647,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,1,0.2,0.2,0.0,0.4,0,0,1,0.0,1.0,0.5,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,2,0,1,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,0,0.2,0.2,0.0,0.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,1,0,1,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,2,0.0,0.1,0.0,0.8,0,0,2,12.333333333333334,1.2371134020618557,0.6666666666666666,12.333333333333334,0.1,0.0,0.0,0.0,0.0,0.0,4,0,1,2,0.8660254037844386,0.5000000000000001,3.6375861597263857,0.0,3.6375861597263857,4.31748811353631,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,3,0.0,0.022222222,0.0,0.4,0,0,3,184.5,0.22556390977443608,0.75,184.5,0.022222222,0.0,0.0,0.0,0.0,0.0,6,0,1,2,0.8660254037844386,0.5000000000000001,6.6052979209482015,0.0,6.6052979209482015,7.703007682479236,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,3,0.0,0.066666667,0.0,0.0,0,0,3,98.75,0.39560439560439564,0.75,98.75,0.066666667,0.0,0.0,0.0,0.0,0.0,6,0,1,2,0.8660254037844386,0.5000000000000001,5.981414211254481,0.0,5.981414211254481,7.078341579557671,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
